Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2022-02-01,41809.80859375,41897.404588646146,41085.11921327674,41426.76507733925,464800
2022-02-02,42248.30078125,42285.1985193842,41918.15469514328,41999.65315040814,383100
2022-02-03,42029.3515625,42232.800830109176,41941.80634735414,42197.199942600724,356300
2022-02-04,41997.203125,42262.74886765819,41871.455510995314,42117.001633135864,364100
2022-02-07,41716.109375,42284.348626723346,41505.664136833235,42099.20369124997,527400
2022-02-08,41521.31640625,41958.45657755405,41192.072632155854,41843.857182095926,492900
2022-02-09,41991.1015625,42037.20225013642,41670.408429618925,41736.10640160308,309900
2022-02-10,42164.55078125,42204.74923655847,41817.00660049398,42117.09855745375,349500
2022-02-11,41552.26171875,41919.555525222764,41421.51420159831,41919.20396939868,299300
2022-02-14,40164.0390625,40969.574566613745,40054.34192417739,40661.029636977866,369500
2022-02-15,41138.01953125,41179.21796760263,39852.9423735838,40316.38279116081,354700
2022-02-16,41057.421875,41535.86203540071,40935.22496981466,41411.817508946544,280600
2022-02-17,41144.8671875,41407.213768618836,41030.22092687885,41264.41569878826,249400
2022-02-18,40708.375,41155.718063219436,40649.72767676799,41001.86942376186,238900
2022-02-21,40176.6875,40650.17852297843,40012.38983370598,40537.180665329935,234000
2022-02-22,40096.1875,40166.385385180685,39218.106524905605,39288.40206448112,347300
2022-02-23,40433.43359375,40631.879054847166,40308.33830623476,40317.53735079677,294800
2022-02-24,38164.4765625,39447.8038247986,38081.97812463361,39059.3111810278,759100
2022-02-25,39608.6484375,39754.247243048965,38833.963887602265,38872.615499474,526500
2022-02-28,40051.34375,40104.440401606895,38916.56443993837,39327.55666354398,490700
2022-03-02,40063.140625,40266.83989693576,39686.74930711272,39798.098763387185,472700
2022-03-03,40009.7421875,40646.730122503,39913.845566349075,40599.031807192456,449700
2022-03-04,39041.5625,39830.446019605486,38980.01288266162,39779.04855403854,420200
2022-03-07,38014.1796875,38429.47261663283,37711.388537498955,38403.42232792654,426000
2022-03-08,38587.12109375,38673.51789572596,37671.93529356223,38086.927437604485,426500
2022-03-09,39132.15625,39352.65206803673,38690.71540369633,38904.61369061303,400700
2022-03-10,39890.04296875,40058.98897794222,39590.396317547835,39958.74088240896,461400
2022-03-11,40086.33984375,40129.88589129005,39696.1441332306,39812.74348011527,305100
2022-03-14,39939.09375,40206.588674496816,39648.89613126873,40120.68796064446,332200
2022-03-15,39566.6015625,40169.0393618121,39303.90341704339,40027.542043947644,376000
2022-03-16,40461.234375,40491.132246759524,40003.442256290735,40014.59438901525,276900
2022-03-17,41058.22265625,41127.52212547269,40823.72709588831,40905.82710401201,1086200
2022-03-21,40503.48046875,41230.66587160355,40429.532654944785,41182.81912440054,357400
2022-03-22,40572.08203125,40620.33111610893,39969.99188860219,40553.5823821331,323300
2022-03-23,40660.1796875,40923.077055675814,40543.03346709983,40838.17631875025,372900
2022-03-24,40737.2265625,40818.275804948054,40444.78289608916,40504.332546728736,256800
2022-03-25,40753.77734375,40978.273083202024,40470.53271925206,40958.421897443826,264800
2022-03-28,40614.03125,40908.92410004028,40260.436387211616,40902.424223196205,339500
