Price,Close,High,Low,Open,Volume
Ticker,^NSEMDCP50,^NSEMDCP50,^NSEMDCP50,^NSEMDCP50,^NSEMDCP50
Date,,,,,
2022-02-01,8471.8544921875,8485.103795754329,8326.661928741609,8481.30419078834,0
2022-02-02,8568.9501953125,8594.798446672652,8514.852451561044,8517.552505018197,0
2022-02-03,8469.455078125,8561.000069500593,8447.905429926373,8556.59991023002,0
2022-02-04,8382.009765625,8492.103590159599,8365.110262978287,8452.00608769344,0
2022-02-07,8288.064453125,8436.207058693637,8238.267265334322,8396.858540563911,0
2022-02-08,8236.767578125,8352.261512072946,8136.12247365159,8323.91241510627,0
2022-02-09,8364.16015625,8373.760237799042,8275.115029995035,8278.715426767623,0
2022-02-10,8392.408203125,8422.356823262915,8322.911858347696,8395.608230129204,0
2022-02-11,8201.66796875,8343.511089711641,8183.019536124586,8329.311641693306,0
2022-02-14,7879.8359375,8054.126583720081,7857.986987942612,8019.528792358565,0
2022-02-15,8123.6728515625,8134.172299367927,7819.5887465180185,7927.683159194529,0
2022-02-16,8097.2744140625,8197.568944934574,8070.825609514903,8179.219812135916,0
2022-02-17,8069.02587890625,8164.820646146606,8051.9266804255085,8136.722026079555,0
2022-02-18,7996.52978515625,8091.874381877276,7985.930244761032,8023.728062263242,0
2022-02-21,7932.18310546875,8014.8784652328595,7869.536496436084,7956.231645932598,672200
2022-02-22,7867.78662109375,7881.435805961132,7718.944347407572,7719.944294844825,0
2022-02-23,7893.8349609375,7976.680702761738,7883.0357240481835,7932.832910518088,0
2022-02-24,7407.26025390625,7715.044356328092,7394.461122498935,7649.897392666872,0
2022-02-25,7735.54345703125,7751.142246215046,7579.901250142024,7584.151026686902,0
2022-02-28,7810.03955078125,7821.688840616301,7581.101392821692,7656.747317773881,0
2022-03-02,7792.84033203125,7826.6886502885645,7721.993958753865,7744.293079462554,0
2022-03-03,7730.6435546875,7894.935214030066,7710.094829847933,7883.585712796978,0
2022-03-04,7551.85302734375,7675.896311539943,7538.953803063954,7671.946812119099,0
2022-03-07,7385.9619140625,7415.91004711137,7276.317774279769,7409.960652762111,0
2022-03-08,7503.20556640625,7516.954843445989,7326.214872876523,7379.01190140689,0
2022-03-09,7671.296875,7698.945323719785,7533.953998179145,7569.552224249938,0
2022-03-10,7724.0439453125,7838.687817903756,7682.145758343846,7832.73793552833,0
2022-03-11,7777.84130859375,7787.740690768437,7667.447206975271,7701.94539424702,0
2022-03-14,7805.68994140625,7823.789088028298,7719.244288450045,7785.291110935438,352200
2022-03-15,7739.693359375,7872.836264759829,7701.04548806375,7827.988523953155,474300
2022-03-16,7896.68505859375,7903.484505911515,7818.689157952562,7840.438014862124,306200
2022-03-17,8008.529296875,8034.677824949617,7989.930176719153,7996.279940655487,356400
2022-03-21,7953.33203125,8053.3267762602145,7941.7828335035565,8052.027039877318,324400
2022-03-22,7985.47998046875,7995.17966571673,7860.6867381184475,7954.43180847041,0
2022-03-23,8027.1279296875,8070.675933940478,8004.129138415597,8035.827667775195,0
