Trading Date,Debt/Equity,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore)
"26 Mar, 2025",Equity,8674.84,9675.75,(1000.91)
"26 Mar, 2025",Debt,7473.45,11622.62,(4149.17)
